Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1055,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5.2,0.6,1.5,28.6,0.5
1056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10.1,16.7,2.5,63.5,6.4
1057,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10.1,19.1,2.4,61.4,5.6
1198,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,-2.3,-4.4,-0.5,-13.4,-1.1
1189,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,3.9,7.7,2.6,27.9,0.4
1144,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453,8.9,19.6,5.5,65.5,1.5
1058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10.3,5.2,2.3,67.1,6.9
1199,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,-3,-0.8,-0.6,-18.7,-1.1
1190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3.4,0.8,2.7,31,0.6
1145,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334,8.5,1.9,6.5,75.2,3
1193,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,10.9,18.5,5.8,58.6,5.8
1201,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,-2.5,-4.2,-1.3,-13.2,-1.3
1194,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,3.8,7.7,2.2,25.2,1.1
1191,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,10,19.1,6.1,54.6,6.3
1200,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,-2.3,-4.5,-1.4,-12.9,-1.5
1192,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,3,5.8,1.9,20.7,1.1
1060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,8.2,18.6,5.7,57.5,3.8
1202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,-5,-11.3,-3.3,-34.2,-2.3
1061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,9.2,5.8,6.4,62.6,7.1
1203,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,-2.5,-2.1,-1.5,-10.2,-1.4
1195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,3.4,1.3,2.5,25.3,1
1062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,10.9,19.8,6,56.1,6.7
1204,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,-2.2,-4.7,-1.4,-11.2,-1.4
